,Date,Bidding Session,Category,Quota,Successful Bids,Received Bids,Premium,PQP,Population,Number of Registered,Number of Deregistered,Year,Month
377,2017-12,2,A,1687,1654,1970,38200,42698,318536,4369,3440,2017,12
378,2017-12,1,B,1375,1375,1805,53711,51850,293669,5748,3261,2017,12
379,2017-12,2,B,1374,1367,1634,47002,51850,293669,5748,3261,2017,12
380,2017-12,1,C,285,279,454,42000,51071,153583,2225,865,2017,12
381,2017-12,2,C,246,232,482,45112,51071,153583,2225,865,2017,12
382,2017-12,1,D,516,500,791,6552,5385,141368,1113,918,2017,12
383,2017-12,2,D,514,458,743,7501,5385,141368,1113,918,2017,12
384,2018-01,1,A,1693,1693,2264,41400,42970,318282,3524,3778,2018,1
385,2018-01,2,A,1713,1708,1938,36890,42970,318282,3524,3778,2018,1
386,2018-01,1,B,1374,1368,1811,45289,52271,292470,2045,3244,2018,1
387,2018-01,2,B,1381,1380,1654,42661,52271,292470,2045,3244,2018,1
388,2018-01,1,C,249,247,458,40101,50607,153145,522,960,2018,1
389,2018-01,2,C,257,247,399,39000,50607,153145,522,960,2018,1
390,2018-01,1,D,525,413,919,7701,5910,140836,520,1052,2018,1
391,2018-01,2,D,565,500,786,8001,5910,140836,520,1052,2018,1
392,2018-02,1,A,1557,1534,2389,40000,42122,318492,2668,2458,2018,2
393,2018-02,2,A,1562,1561,2073,36810,42122,318492,2668,2458,2018,2
394,2018-02,1,B,1396,1396,1831,42322,50578,292773,2541,2238,2018,2
395,2018-02,2,B,1391,1379,1744,39000,50578,292773,2541,2238,2018,2
396,2018-02,1,C,249,249,486,38303,46992,152883,397,659,2018,2
397,2018-02,2,C,257,256,489,36859,46992,152883,397,659,2018,2
398,2018-02,1,D,624,608,933,8451,6875,140323,394,907,2018,2
399,2018-02,2,D,577,568,1073,7667,6875,140323,394,907,2018,2
